Record ID,Contributor,Contributor aliases,Title,Title aliases,Year,Publisher,ISBN,Canon sources,Collectibility tier,Search priority,First edition notes,Strong buy GBP,Bargain GBP,Evidence confidence,Source,Search tier
openlibrary:OL21281599W,Julia Margaret Pattle Cameron,"Marta Rachel Weiss | Art Gallery of New South Wales Staff | Victoria and Albert Museum, London",Julia Margaret Cameron,,2015,MACK,,Specialist photography publisher backlist: MACK,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21281599W,BROAD
openlibrary:OL21248014W,Julian Germain,,For Every Minute You Are Angry You Lose,,2014,MACK,,Specialist photography publisher backlist: MACK,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21248014W,BROAD
openlibrary:OL9042326W,Julian Germain,,For every minute you are angry you lose sixty seconds of happiness,,2005,MACK,,Specialist photography publisher backlist: MACK | Specialist photography publisher backlist: Steidl,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL9042326W,BROAD
openlibrary:OL11611410W,Julien Coulommier,,Coulommier,,1995,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL11611410W,BROAD
openlibrary:OL17519802W,Julio Bittencourt,,In A Window Of Prestes Maia 911 Building,,2009,Dewi Lewis,,Specialist photography publisher backlist: Dewi Lewis,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL17519802W,BROAD
openlibrary:OL22354984W,Julius Shulman,,The building of my home and studio,,2008,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL22354984W,BROAD
openlibrary:OL11638075W,Julius Shulman,,Vest Pocket Pictures,,2006,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL11638075W,BROAD
openlibrary:OL22354838W,Jürgen Heinemann,,Dabeisein,,2010,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL22354838W,BROAD
openlibrary:OL36448183W,Jurgen Teller,,Get a Life,,2011,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL36448183W,BROAD
openlibrary:OL33077870W,Jurgen Vollmer,,On filmsets and other locations,,2009,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL33077870W,BROAD
openlibrary:OL9042367W,Juri Andruchowytsch,,Bertien van Manen,,2006,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL9042367W,BROAD
openlibrary:OL33071378W,Jussi Puikkonen,,On vacation,,2008,Edition Patrick Frey,,Specialist photography publisher backlist: Edition Patrick Frey,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL33071378W,BROAD
openlibrary:OL9882541W,Justin Quinnell,,Mouthpiece,,2007,Dewi Lewis,,Specialist photography publisher backlist: Dewi Lewis,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL9882541W,BROAD
openlibrary:OL20747111W,Justine Kurland,,Justine Kurland,,2011,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL20747111W,BROAD
openlibrary:OL28351721W,Justine Kurland,,SCUMB Manifesto,,2022,MACK,,Specialist photography publisher backlist: MACK,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL28351721W,BROAD
openlibrary:OL9042347W,Kai Wiedenhofer,,Kai Wiedenhofer The Wall,,2007,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL9042347W,BROAD
openlibrary:OL9042348W,Kai Wiedenhofer,"Stefani Rosenkranz | Kai Rosenkranz, Stefani Wiedenhofer",Perfect peace,,2002,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL9042348W,BROAD
openlibrary:OL25023857W,Kai Wiedenhöfer,,Wiedenhöfer - Confrontier,,2014,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL25023857W,BROAD
openlibrary:OL21154856W,Kanye West,Jackie Nickerson,Kanye West?,,2017,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21154856W,BROAD
openlibrary:OL17482244W,Karen Halttunen,,America And The Tintype,,2009,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL17482244W,BROAD
openlibrary:OL21231886W,Karen Ingham,Bernard Moxham,Anatomy Lessons,,2005,Dewi Lewis,,Specialist photography publisher backlist: Dewi Lewis,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21231886W,BROAD
openlibrary:OL23158542W,Karen Knorr,,Punks,,2013,GOST,,Specialist photography publisher backlist: GOST,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL23158542W,BROAD
openlibrary:OL20524857W,Karine Laval,,Karine Laval,,2018,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL20524857W,BROAD
openlibrary:OL33106737W,Karl Lagerfeld,,Abstract architecture,,2009,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL33106737W,BROAD
